"id","depot_code","depot_name","route_code","route_name"
"1","RD05","Dhaka Bio Tech Depot","400645","Dhaka Biotech Plant Counter Sales"
"2","RD05","Dhaka Bio Tech Depot","401013","Online Sales In side Dhaka"
"3","RD05","Dhaka Bio Tech Depot","401014","Online Sales Out side Dhaka"
"4","RD06","Dhaka West Depot","400107","Zigatola, Dhaka"
"5","RD06","Dhaka West Depot","400108","Townhall, Dhaka"
"6","RD06","Dhaka West Depot","400109","Kazipara, Dhaka"
"7","RD06","Dhaka West Depot","400110","Collegegate, Dhaka"
"8","RD06","Dhaka West Depot","400111","Sankor, Dhaka"
"9","RD06","Dhaka West Depot","400112","Pollobi, Dhaka"
"10","RD06","Dhaka West Depot","400113","Mirpur-01, Dhaka"
"11","RD06","Dhaka West Depot","400114","Mohammadpur, Dhaka"
"12","RD06","Dhaka West Depot","400115","Cantonment -1, Dhaka"
"13","RD06","Dhaka West Depot","400120","Mirpur-02, Dhaka"
"14","RD06","Dhaka West Depot","400122","Rupnagor, Dhaka"
"15","RD06","Dhaka West Depot","400123","Mirpur-10, Dhaka"
"16","RD06","Dhaka West Depot","400124","Nowabgonj - 1, Dhaka"
"17","RD06","Dhaka West Depot","400125","Nowabgonj - 2, Dhaka"
"18","RD06","Dhaka West Depot","400126","Nowabgonj- 3, Dhaka"
"19","RD06","Dhaka West Depot","400127","Dohar-1, Dhaka"
"20","RD06","Dhaka West Depot","400128","Dohar-2, Dhaka"
"21","RD06","Dhaka West Depot","400129","Shamoly, Dhaka"
"22","RD06","Dhaka West Depot","400131","Kalabagan, Dhaka"
"23","RD06","Dhaka West Depot","400132","Cantonment -2, Dhaka"
"24","RD06","Dhaka West Depot","400824","DHK West Plant Counter Sales"
"27","RD06","Dhaka West Depot","400920","Bosila, Dhaka"
"28","RD06","Dhaka West Depot","400926","Kalatia, Dhaka"
"29","RD06","Dhaka West Depot","401009","Tolarbag, Dhaka"
"30","RD06","Dhaka West Depot","401010","Mirpur 12, Dhaka"
"31","RD07","Chattogram East Depot","400794","Oxyzen , Chattogram"
"32","RD07","Chattogram East Depot","400795","DT Road, Chattogram"
"33","RD07","Chattogram East Depot","400796","Bibirhat Kazirhat, CTG"
"34","RD07","Chattogram East Depot","400797","Nazirhat, Chattogram"
"35","RD07","Chattogram East Depot","400798","Sarkar Hat, CTG"
"36","RD07","Chattogram East Depot","400800","Noapara, Chattogram"
"37","RD07","Chattogram East Depot","400801","Rawzan,Chattogram"
"38","RD07","Chattogram East Depot","400802","Chandraghona, Rangamati"
"39","RD07","Chattogram East Depot","400803","Padua, Rangamati"
"40","RD07","Chattogram East Depot","400804","Dhamoirh Hat, Rangamati"
"41","RD07","Chattogram East Depot","400806","Bahadder Hat, CTG"
"42","RD07","Chattogram East Depot","400807","Haque Mkt., CTG"
"43","RD07","Chattogram East Depot","400808","Hathazari B/S, CTG"
